,_step,_runtime,epochs,_timestamp,Supertransformer mlm loss,Smallest mlm loss,Subtransformer mlm loss
0,182,255,0.0,1658118692,,,
1,582,548,0.0,1658118985,,,
2,622,577,0.0,1658119014,,,
3,731,657,0.0,1658119094,,,
4,755,674,0.0,1658119111,,,
5,1014,863,0.0,1658119300,,,
6,1048,888,0.0,1658119325,,,
7,1112,935,0.0,1658119372,,,
8,1225,1017,0.0,1658119454,,,
9,1275,1053,0.0,1658119490,,,
10,1412,1153,0.0,1658119590,,,
11,1413,1153,0.0,1658119590,,,
12,1482,1204,0.0,1658119641,,,
13,1701,1364,0.0,1658119801,,,
14,1748,1399,0.0,1658119836,,,
15,2349,1839,0.0,1658120276,,,
16,2580,2009,0.0,1658120446,,,
17,2628,2044,0.0,1658120481,,,
18,2741,2127,0.0,1658120564,,,
19,2848,2205,0.0,1658120642,,,
20,3201,2463,0.0,1658120900,,,
21,3233,2486,0.0,1658120923,,,
22,3426,2627,0.0,1658121064,,,
23,3448,2644,0.0,1658121081,,,
24,3507,2688,0.0,1658121125,,,
25,3644,2787,0.0,1658121224,,,
26,3754,2868,0.0,1658121305,,,
27,3848,2938,0.0,1658121375,,,
28,3874,2957,0.0,1658121394,,,
29,3915,2987,0.0,1658121424,,,
30,4197,3195,0.0,1658121632,,,
31,4375,3326,0.0,1658121763,,,
32,4433,3368,0.0,1658121805,,,
33,4493,3412,0.0,1658121849,,,
34,4540,3447,0.0,1658121884,,,
35,4890,3703,0.0,1658122140,,,
36,5419,4094,0.0,1658122531,,,
37,5475,4135,0.0,1658122572,,,
38,5521,4170,0.0,1658122607,,,
39,5553,4194,0.0,1658122631,,,
40,5944,4482,0.0,1658122919,,,
41,6154,4637,0.0,1658123074,,,
42,6557,4933,0.0,1658123370,,,
43,6623,4982,0.0,1658123419,,,
44,6874,5167,0.0,1658123604,,,
45,6885,5175,0.0,1658123612,,,
46,6886,5175,0.0,1658123612,,,
47,6906,5190,0.0,1658123627,,,
48,7134,5358,0.0,1658123795,,,
49,7184,5395,0.0,1658123832,,,
50,7242,5437,0.0,1658123874,,,
51,7355,5520,0.0,1658123957,,,
52,7372,5533,0.0,1658123970,,,
53,7435,5579,0.0,1658124016,,,
54,7603,5704,0.0,1658124141,,,
55,7665,5749,0.0,1658124186,,,
56,7701,5776,0.0,1658124213,,,
57,7741,5805,0.0,1658124242,,,
58,7827,5869,0.0,1658124306,,,
59,7853,5887,0.0,1658124324,,,
60,7879,5907,0.0,1658124344,,,
61,8005,6000,0.0,1658124437,,,
62,8009,6003,0.0,1658124440,,,
63,8137,6098,0.0,1658124535,,,
64,8151,6108,0.0,1658124545,,,
65,8602,6441,0.0,1658124878,,,
66,8727,6533,0.0,1658124970,,,
67,9327,6976,0.0,1658125413,,,
68,9413,7040,0.0,1658125477,,,
69,9533,7128,0.0,1658125565,,,
70,9884,7388,0.0,1658125825,,,
71,9997,7472,0.0,1658125909,,,
72,10005,7478,0.0,1658125915,,,
73,10340,7726,0.0,1658126163,,,
74,10378,7754,0.0,1658126191,,,
75,10714,8002,0.0,1658126439,,,
76,11083,8276,0.0,1658126713,,,
77,11199,8362,0.0,1658126799,,,
78,11214,8373,0.0,1658126810,,,
79,11839,8837,0.0,1658127274,,,
80,11865,8856,0.0,1658127293,,,
81,12378,9237,0.0,1658127674,,,
82,12491,9320,0.0,1658127757,,,
83,12876,9604,0.0,1658128041,,,
84,13209,9853,0.0,1658128290,,,
85,13239,9875,0.0,1658128312,,,
86,13254,9886,0.0,1658128323,,,
87,13663,10190,0.0,1658128627,,,
88,14096,10510,0.0,1658128947,,,
89,14156,10555,0.0,1658128992,,,
90,14203,10590,0.0,1658129027,,,
91,14305,10665,0.0,1658129102,,,
92,14499,10808,0.0,1658129245,,,
93,14561,10855,0.0,1658129292,,,
94,14969,11159,0.0,1658129596,,,
95,15019,11196,0.0,1658129633,,,
96,15058,11225,0.0,1658129662,,,
97,15236,11358,0.0,1658129795,,,
98,15319,11419,0.0,1658129856,,,
99,15547,11588,0.0,1658130025,,,
100,15723,11719,0.0,1658130156,,,
101,15947,11886,0.0,1658130323,,,
102,15962,11897,0.0,1658130334,,,
103,15993,11920,0.0,1658130357,,,
104,16006,11930,0.0,1658130367,,,
105,16115,12010,0.0,1658130447,,,
106,16244,12107,0.0,1658130544,,,
107,16376,12205,0.0,1658130642,,,
108,16846,12554,0.0,1658130991,,,
109,16964,12642,0.0,1658131079,,,
110,17575,13097,0.0,1658131534,,,
111,17599,13115,0.0,1658131552,,,
112,17636,13142,0.0,1658131579,,,
113,17670,13168,0.0,1658131605,,,
114,17890,13331,0.0,1658131768,,,
115,17892,13333,0.0,1658131770,,,
116,17936,13366,0.0,1658131803,,,
